source,catalog_code,dataset,field_position,original_field_name,korean_meaning,storage_type,observed_value_type,unit,missing_value_definition,observed_missing_tokens,first_year,last_year,identifier_role
고등교육통계,0101,고등교육학교개황,15,5학년재적여학생수,5학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,16,5학년재적학생수,5학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,17,4학년재적여학생수,4학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,18,4학년재적학생수,4학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,19,3학년재적여학생수,3학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,20,3학년재적학생수,3학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,21,2학년재적여학생수,2학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,22,학사심화과정2학년재적여학생수,학사심화과정2학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,23,학사심화과정3학년재적학생수,학사심화과정3학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,24,학사심화과정3학년재적여학생수,학사심화과정3학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,25,학사심화과정4학년재적학생수,학사심화과정4학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,26,학사심화과정4학년재적여학생수,학사심화과정4학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,27,고등교육학교_입학생수,고등교육학교_입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,28,고등교육학교_학사심화과정입학생수,고등교육학교_학사심화과정입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,29,고등교육학교_여자입학생수,고등교육학교_여자입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,30,고등교육학교_학사심화과정여자입학생수,고등교육학교_학사심화과정여자입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,31,고등교육학교_졸업생수,고등교육학교_졸업생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,32,고등교육학교_여자졸업생수,고등교육학교_여자졸업생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,33,고등교육학교_교원수,고등교육학교_교원수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,34,고등교육학교_여자교원수,고등교육학교_여자교원수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,35,고등교육학교_사무직원수,고등교육학교_사무직원수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,36,고등교육학교_여자사무직원수,고등교육학교_여자사무직원수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,37,고등교육학교_건물면적,고등교육학교_건물면적,string,decimal-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,38,2학년재적학생수,2학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,39,1학년재적여학생수,1학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,40,고등교육학교_학교수,고등교육학교_학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,41,주간학교수,주간학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,42,야간학교수,야간학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,43,주야간학교수,주야간학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,44,남자학교수,남자학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,45,여자학교수,여자학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,46,공학학교수,공학학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,47,고등교육학교_분교학교수,고등교육학교_분교학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,48,주간분교학교수,주간분교학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,49,야간분교학교수,야간분교학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,50,주야간분교학교수,주야간분교학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,51,남자분교학교수,남자분교학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,52,여자분교학교수,여자분교학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,53,1학년재적학생수,1학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,54,고등교육학교_재적여학생수,고등교육학교_재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,55,고등교육학교_재적학생수,고등교육학교_재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,56,고등교육학교_박사과정학과수,고등교육학교_박사과정학과수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,57,고등교육학교_심화과정학과수,고등교육학교_심화과정학과수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,58,고등교육학교_학과수,고등교육학교_학과수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,59,공학대학원대학교수,공학대학원대학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,60,여자대학원대학교수,여자대학원대학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,61,남자대학원대학교수,남자대학원대학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,62,주야간대학원대학교수,주야간대학원대학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,63,야간대학원대학교수,야간대학원대학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,64,주간대학원대학교수,주간대학원대학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,65,대학원대학교수,대학원대학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,66,공학분교학교수,공학분교학교수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,1,조사년도,조사년도,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0103,대학교학생개황,2,학교구분명,학교구분명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0103,대학교학생개황,3,개방ID,개방ID,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0103,대학교학생개황,4,학과계열구분명,학과계열구분명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,5,학제유형명,학제유형명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,6,학제유형그룹명,학제유형그룹명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,7,단과대학명,단과대학명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,"[""""]",2009,2025,
고등교육통계,0103,대학교학생개황,8,학과명,학과명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0103,대학교학생개황,9,수업형태명,수업형태명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,"[""""]",2009,2025,
고등교육통계,0103,대학교학생개황,10,학과특성명,학과특성명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,"[""""]",2009,2025,
고등교육통계,0103,대학교학생개황,11,대학교학생_야간6학년재적학생수,대학교학생_야간6학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,12,대학교학생_야간5학년재적여학생수,대학교학생_야간5학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,13,대학교학생_야간5학년재적학생수,대학교학생_야간5학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,14,대학교학생_야간4학년재적여학생수,대학교학생_야간4학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,15,대학교학생_야간4학년재적학생수,대학교학생_야간4학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,16,대학교학생_야간3학년재적여학생수,대학교학생_야간3학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,17,대학교학생_야간3학년재적학생수,대학교학생_야간3학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,18,대학교학생_야간2학년재적여학생수,대학교학생_야간2학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,19,대학교학생_야간2학년재적학생수,대학교학생_야간2학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,20,대학교학생_야간1학년재적여학생수,대학교학생_야간1학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,21,대학교학생_야간1학년재적학생수,대학교학생_야간1학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,22,대학교학생_야간여자휴학생수,대학교학생_야간여자휴학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,23,대학교학생_야간휴학생수,대학교학생_야간휴학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,24,대학교학생_야간여자재학생수,대학교학생_야간여자재학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,25,대학교학생_야간재학생수,대학교학생_야간재학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,26,대학교학생_야간6학년재적여학생수,대학교학생_야간6학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,27,대학교학생_입학지원자수,대학교학생_입학지원자수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,28,대학교학생_여자국가기술자격취득자수,대학교학생_여자국가기술자격취득자수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,29,대학교학생_국가기술자격취득자수,대학교학생_국가기술자격취득자수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,30,대학교학생_입대학생수,대학교학생_입대학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,31,대학교학생_여자취업불가능자수,대학교학생_여자취업불가능자수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,32,대학교학생_취업불가능수,대학교학생_취업불가능수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,33,대학교학생_여자외국인유학생수,대학교학생_여자외국인유학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,34,대학교학생_외국인유학생수,대학교학생_외국인유학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,35,대학교학생개황_여자취업자수,대학교학생개황_여자취업자수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,36,대학교학생개황_취업자수,대학교학생개황_취업자수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,37,대학교학생_여자졸업생수,대학교학생_여자졸업생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,38,대학교학생_졸업생수,대학교학생_졸업생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,39,대학교학생_여자입학생수,대학교학생_여자입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,40,대학교학생_입학생수,대학교학생_입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,41,대학교학생_여자입학지원자수,대학교학생_여자입학지원자수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,42,대학교학생_주간6학년재적여학생수,대학교학생_주간6학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,43,대학교학생_주간6학년재적학생수,대학교학생_주간6학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,44,대학교학생_주간5학년재적여학생수,대학교학생_주간5학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,45,대학교학생_재적여학생수,대학교학생_재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,46,대학교학생_재적학생수,대학교학생_재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,47,대학교학생_야간입학정원수,대학교학생_야간입학정원수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,48,대학교학생_주간입학정원수,대학교학생_주간입학정원수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,49,대학교학생_입학정원수,대학교학생_입학정원수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,50,대학교학생_학과수,대학교학생_학과수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,51,대학교학생_재학생수,대학교학생_재학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,52,대학교학생_여자재학생수,대학교학생_여자재학생수,string,decimal-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,53,대학교학생_주간5학년재적학생수,대학교학생_주간5학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,54,대학교학생_주간4학년재적여학생수,대학교학생_주간4학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,55,대학교학생_주간4학년재적학생수,대학교학생_주간4학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,56,대학교학생_주간3학년재적여학생수,대학교학생_주간3학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,57,대학교학생_주간3학년재적학생수,대학교학생_주간3학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,58,대학교학생_주간2학년재적여학생수,대학교학생_주간2학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,59,대학교학생_주간2학년재적학생수,대학교학생_주간2학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,60,대학교학생_주간1학년재적여학생수,대학교학생_주간1학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,61,대학교학생_주간1학년재적학생수,대학교학생_주간1학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,62,대학교학생_주간여자휴학생수,대학교학생_주간여자휴학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,63,대학교학생_주간휴학생수,대학교학생_주간휴학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,64,대학교학생_주간여자재학생수,대학교학생_주간여자재학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,65,대학교학생_주간재학생수,대학교학생_주간재학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,66,대학교학생_여자휴학생수,대학교학생_여자휴학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0103,대학교학생개황,67,대학교학생_휴학생수,대학교학생_휴학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0105,대학원학생개황,1,조사년도,조사년도,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0105,대학원학생개황,2,학교구분명,학교구분명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0105,대학원학생개황,3,개방ID,개방ID,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0105,대학원학생개황,4,학과계열구분명,학과계열구분명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0105,대학원학생개황,5,야간박사과정남자입학생수,야간박사과정남자입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0105,대학원학생개황,6,야간박사과정여자입학생수,야간박사과정여자입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0105,대학원학생개황,7,주야간박사과정입학생수,주야간박사과정입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0105,대학원학생개황,8,주야간박사과정남자입학생수,주야간박사과정남자입학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
